unique_word,count,stem,syllables,length,weights
said,17505,4.0,3.0,4.0,0.0004000400040004015
one,10913,3.0,3.0,3.0,0.0004000400040004015
like,8984,4.0,3.0,4.0,0.0004000400040004015
would,7433,5.0,3.0,5.0,0.0004000400040004015
could,7132,5.0,3.0,5.0,0.0004000400040004015
see,6576,3.0,2.0,3.0,0.0004000400040004015
little,6485,5.0,5.0,6.0,0.0004000400040004015
time,5848,4.0,3.0,4.0,0.0004000400040004015
back,5678,4.0,3.0,4.0,0.0004000400040004015
go,4963,2.0,2.0,2.0,0.0004000400040004015
get,4820,3.0,3.0,3.0,0.0004000400040004015
people,4522,5.0,5.0,6.0,0.0004000400040004015
know,4429,4.0,2.0,4.0,0.0004000400040004015
day,4419,3.0,2.0,3.0,0.0004000400040004015
long,4407,4.0,3.0,4.0,0.0004000400040004015
made,4238,4.0,3.0,4.0,0.0004000400040004015
many,4185,4.0,4.0,4.0,0.0004000400040004015
make,4174,4.0,3.0,4.0,0.0004000400040004015
first,4078,5.0,4.0,5.0,0.0004000400040004015
two,4046,3.0,2.0,3.0,0.0004000400040004015
around,4016,6.0,4.0,6.0,0.0004000400040004015
look,3965,4.0,3.0,4.0,0.0004000400040004015
way,3962,3.0,2.0,3.0,0.0004000400040004015
come,3840,4.0,3.0,4.0,0.0004000400040004015
came,3838,4.0,3.0,4.0,0.0004000400040004015
good,3814,4.0,3.0,4.0,0.0004000400040004015
even,3735,4.0,4.0,4.0,0.0004000400040004015
—,3726,1.0,0.0,1.0,0.0004000400040004015
away,3702,4.0,3.0,4.0,0.0004000400040004015
water,3668,5.0,4.0,5.0,0.0004000400040004015
well,3644,4.0,3.0,4.0,0.0004000400040004015
great,3593,5.0,4.0,5.0,0.0004000400040004015
looked,3458,4.0,4.0,6.0,0.0004000400040004015
never,3314,5.0,4.0,5.0,0.0004000400040004015
called,3290,4.0,4.0,6.0,0.0004000400040004015
help,3283,4.0,4.0,4.0,0.0004000400040004015
think,3278,5.0,4.0,5.0,0.0004000400040004015
went,3252,4.0,4.0,4.0,0.0004000400040004015
man,3218,3.0,3.0,3.0,0.0004000400040004015
much,3207,4.0,3.0,4.0,0.0004000400040004015
asked,3163,3.0,4.0,5.0,0.0004000400040004015
old,3119,3.0,3.0,3.0,0.0004000400040004015
big,3103,3.0,3.0,3.0,0.0004000400040004015
find,3102,4.0,4.0,4.0,0.0004000400040004015
found,3078,5.0,4.0,5.0,0.0004000400040004015
also,3035,4.0,4.0,4.0,0.0004000400040004015
eyes,2984,3.0,2.0,4.0,0.0004000400040004015
take,2965,4.0,3.0,4.0,0.0004000400040004015
us,2931,2.0,2.0,2.0,0.0004000400040004015
things,2917,5.0,4.0,6.0,0.0004000400040004015
years,2909,4.0,4.0,5.0,0.0004000400040004015
head,2874,4.0,3.0,4.0,0.0004000400040004015
new,2848,3.0,2.0,3.0,0.0004000400040004015
sir,2846,3.0,2.0,3.0,0.0004000400040004015
home,2785,4.0,3.0,4.0,0.0004000400040004015
animals,2785,4.0,7.0,7.0,0.0004000400040004015
thought,2763,7.0,3.0,7.0,0.0004000400040004015
world,2762,5.0,4.0,5.0,0.0004000400040004015
right,2748,5.0,3.0,5.0,0.0004000400040004015
still,2724,5.0,4.0,5.0,0.0004000400040004015
going,2690,2.0,4.0,5.0,0.0004000400040004015
it’s,2561,3.0,0.0,4.0,0.0004000400040004015
must,2554,4.0,4.0,4.0,0.0004000400040004015
got,2532,3.0,3.0,3.0,0.0004000400040004015
put,2512,3.0,3.0,3.0,0.0004000400040004015
don’t,2468,5.0,0.0,5.0,0.0004000400040004015
white,2379,5.0,3.0,5.0,0.0004000400040004015
saw,2331,3.0,2.0,3.0,0.0004000400040004015
took,2319,4.0,3.0,4.0,0.0004000400040004015
every,2313,5.0,4.0,5.0,0.0004000400040004015
mother,2311,6.0,4.0,6.0,0.0004000400040004015
something,2305,6.0,6.0,9.0,0.0004000400040004015
king,2225,4.0,3.0,4.0,0.0004000400040004015
another,2198,5.0,5.0,7.0,0.0004000400040004015
next,2193,4.0,5.0,4.0,0.0004000400040004015
three,2187,5.0,3.0,5.0,0.0004000400040004015
ever,2164,4.0,3.0,4.0,0.0004000400040004015
need,2163,4.0,3.0,4.0,0.0004000400040004015
might,2156,5.0,3.0,5.0,0.0004000400040004015
children,2105,8.0,7.0,8.0,0.0004000400040004015
say,2098,3.0,2.0,3.0,0.0004000400040004015
live,2095,4.0,3.0,4.0,0.0004000400040004015
door,2090,4.0,3.0,4.0,0.0004000400040004015
night,2085,5.0,3.0,5.0,0.0004000400040004015
says,2081,3.0,3.0,4.0,0.0004000400040004015
last,2065,4.0,4.0,4.0,0.0004000400040004015
tell,2040,4.0,3.0,4.0,0.0004000400040004015
always,2039,5.0,5.0,6.0,0.0004000400040004015
small,2038,5.0,4.0,5.0,0.0004000400040004015
hand,2028,4.0,4.0,4.0,0.0004000400040004015
house,2008,4.0,3.0,5.0,0.0004000400040004015
want,2007,4.0,4.0,4.0,0.0004000400040004015
together,1957,6.0,6.0,8.0,0.0004000400040004015
